"StateFIPS","State","Year","Value","Data Comment",
"01","Alabama","2018","61.7","",
"02","Alaska","2018","48.2","",
"04","Arizona","2018","42.4","",
"05","Arkansas","2018","75.6","",
"06","California","2018","37.6","",
"08","Colorado","2018","37.7","",
"09","Connecticut","2018","54.7","",
"10","Delaware","2018","58.6","",
"11","District of Columbia","2018","44.4","",
"12","Florida","2018","55.4","",
"13","Georgia","2018","57.5","",
"15","Hawaii","2018","41.6","",
"16","Idaho","2018","46.3","",
"17","Illinois","2018","60.2","",
"18","Indiana","2018","65.1","",
"19","Iowa","2018","61.3","",
"21","Kentucky","2018","83.9","",
"22","Louisiana","2018","60.8","",
"23","Maine","2018","70.0","",
"24","Maryland","2018","51.0","",
"25","Massachusetts","2018","56.5","",
"26","Michigan","2018","59.7","",
"27","Minnesota","2018","54.8","",
"28","Mississippi","2018","72.5","",
"29","Missouri","2018","68.7","",
"30","Montana","2018","46.4","",
"31","Nebraska","2018","54.7","",
"33","New Hampshire","2018","59.6","",
"34","New Jersey","2018","53.4","",
"35","New Mexico","2018","33.9","",
"36","New York","2018","56.7","",
"37","North Carolina","2018","63.2","",
"38","North Dakota","2018","59.6","",
"39","Ohio","2018","66.4","",
"40","Oklahoma","2018","66.5","",
"41","Oregon","2018","49.1","",
"42","Pennsylvania","2018","60.6","",
"44","Rhode Island","2018","63.5","",
"45","South Carolina","2018","59.8","",
"46","South Dakota","2018","53.1","",
"47","Tennessee","2018","71.4","",
"48","Texas","2018","47.7","",
"49","Utah","2018","26.8","",
"50","Vermont","2018","57.9","",
"53","Washington","2018","49.6","",
"54","West Virginia","2018","76.4","",
"55","Wisconsin","2018","57.8","",
"56","Wyoming","2018","37.9","",
