"StateFIPS","State","Year","Value","Data Comment","Gender"
"01","Alabama","2018","76.8","","Male"
"01","Alabama","2018","49.9","","Female"
"02","Alaska","2018","53.2","","Male"
"02","Alaska","2018","43.9","","Female"
"04","Arizona","2018","46.1","","Male"
"04","Arizona","2018","39.3","","Female"
"05","Arkansas","2018","91.0","","Male"
"05","Arkansas","2018","63.2","","Female"
"06","California","2018","41.5","","Male"
"06","California","2018","34.6","","Female"
"08","Colorado","2018","39.2","","Male"
"08","Colorado","2018","36.6","","Female"
"09","Connecticut","2018","59.4","","Male"
"09","Connecticut","2018","51.3","","Female"
"10","Delaware","2018","61.9","","Male"
"10","Delaware","2018","55.9","","Female"
"11","District of Columbia","2018","53.2","","Male"
"11","District of Columbia","2018","38.0","","Female"
"12","Florida","2018","62.7","","Male"
"12","Florida","2018","49.4","","Female"
"13","Georgia","2018","69.1","","Male"
"13","Georgia","2018","48.8","","Female"
"15","Hawaii","2018","49.3","","Male"
"15","Hawaii","2018","35.1","","Female"
"16","Idaho","2018","51.6","","Male"
"16","Idaho","2018","41.9","","Female"
"17","Illinois","2018","66.2","","Male"
"17","Illinois","2018","55.9","","Female"
"18","Indiana","2018","73.4","","Male"
"18","Indiana","2018","59.1","","Female"
"19","Iowa","2018","70.3","","Male"
"19","Iowa","2018","54.5","","Female"
"21","Kentucky","2018","95.0","","Male"
"21","Kentucky","2018","75.6","","Female"
"22","Louisiana","2018","76.7","","Male"
"22","Louisiana","2018","48.5","","Female"
"23","Maine","2018","73.9","","Male"
"23","Maine","2018","67.4","","Female"
"24","Maryland","2018","55.9","","Male"
"24","Maryland","2018","47.4","","Female"
"25","Massachusetts","2018","60.2","","Male"
"25","Massachusetts","2018","54.2","","Female"
"26","Michigan","2018","64.8","","Male"
"26","Michigan","2018","56.1","","Female"
"27","Minnesota","2018","60.1","","Male"
"27","Minnesota","2018","51.0","","Female"
"28","Mississippi","2018","93.3","","Male"
"28","Mississippi","2018","56.5","","Female"
"29","Missouri","2018","78.2","","Male"
"29","Missouri","2018","61.6","","Female"
"30","Montana","2018","48.9","","Male"
"30","Montana","2018","44.5","","Female"
"31","Nebraska","2018","61.3","","Male"
"31","Nebraska","2018","49.5","","Female"
"33","New Hampshire","2018","63.4","","Male"
"33","New Hampshire","2018","57.4","","Female"
"34","New Jersey","2018","58.1","","Male"
"34","New Jersey","2018","50.3","","Female"
"35","New Mexico","2018","37.1","","Male"
"35","New Mexico","2018","31.4","","Female"
"36","New York","2018","61.9","","Male"
"36","New York","2018","53.1","","Female"
"37","North Carolina","2018","75.1","","Male"
"37","North Carolina","2018","54.1","","Female"
"38","North Dakota","2018","62.9","","Male"
"38","North Dakota","2018","57.2","","Female"
"39","Ohio","2018","75.7","","Male"
"39","Ohio","2018","59.4","","Female"
"40","Oklahoma","2018","75.8","","Male"
"40","Oklahoma","2018","59.3","","Female"
"41","Oregon","2018","51.0","","Male"
"41","Oregon","2018","47.8","","Female"
"42","Pennsylvania","2018","67.3","","Male"
"42","Pennsylvania","2018","55.8","","Female"
"44","Rhode Island","2018","68.3","","Male"
"44","Rhode Island","2018","60.7","","Female"
"45","South Carolina","2018","70.8","","Male"
"45","South Carolina","2018","51.2","","Female"
"46","South Dakota","2018","58.7","","Male"
"46","South Dakota","2018","49.5","","Female"
"47","Tennessee","2018","82.8","","Male"
"47","Tennessee","2018","62.8","","Female"
"48","Texas","2018","56.4","","Male"
"48","Texas","2018","41.0","","Female"
"49","Utah","2018","31.1","","Male"
"49","Utah","2018","23.2","","Female"
"50","Vermont","2018","62.2","","Male"
"50","Vermont","2018","54.5","","Female"
"53","Washington","2018","52.0","","Male"
"53","Washington","2018","48.0","","Female"
"54","West Virginia","2018","84.2","","Male"
"54","West Virginia","2018","70.2","","Female"
"55","Wisconsin","2018","63.5","","Male"
"55","Wisconsin","2018","53.5","","Female"
"56","Wyoming","2018","37.5","","Male"
"56","Wyoming","2018","38.9","","Female"
