"StateFIPS","State","Year","Value","Data Comment",
"01","Alabama","2018","Data Not Collected","",
"02","Alaska","2018","Data Not Collected","",
"04","Arizona","2018","Data Not Collected","",
"05","Arkansas","2018","Data Not Collected","",
"06","California","2018","10.7","",
"08","Colorado","2018","Data Not Collected","",
"09","Connecticut","2018","14.9","",
"10","Delaware","2018","Data Not Collected","",
"11","District of Columbia","2018","16.4","",
"12","Florida","2018","12.5","",
"13","Georgia","2018","12.2","",
"15","Hawaii","2018","17.7","",
"16","Idaho","2018","Data Not Collected","",
"17","Illinois","2018","9.3","",
"18","Indiana","2018","12.9","",
"19","Iowa","2018","Data Not Collected","",
"20","Kansas","2018","11.1","",
"21","Kentucky","2018","9.4","",
"22","Louisiana","2018","Data Not Collected","",
"23","Maine","2018","11.8","",
"24","Maryland","2018","13.3","",
"25","Massachusetts","2018","13.1","",
"26","Michigan","2018","12.5","",
"27","Minnesota","2018","7.4","",
"28","Mississippi","2018","10.0","",
"29","Missouri","2018","13.5","",
"30","Montana","2018","7.1","",
"31","Nebraska","2018","7.8","",
"32","Nevada","2018","13.3","",
"33","New Hampshire","2018","11.2","",
"34","New Jersey","2018","11.3","",
"35","New Mexico","2018","11.6","",
"36","New York","2018","9.9","",
"37","North Carolina","2018","Data Not Collected","",
"38","North Dakota","2018","Data Not Collected","",
"39","Ohio","2018","12.2","",
"40","Oklahoma","2018","Data Not Collected","",
"41","Oregon","2018","11.6","",
"42","Pennsylvania","2018","12.9","",
"44","Rhode Island","2018","14.3","",
"45","South Carolina","2018","Data Not Collected","",
"46","South Dakota","2018","Data Not Collected","",
"47","Tennessee","2018","Data Not Collected","",
"48","Texas","2018","Data Not Collected","",
"49","Utah","2018","8.2","",
"50","Vermont","2018","13.0","",
"51","Virginia","2018","Data Not Collected","",
"53","Washington","2018","Data Not Collected","",
"54","West Virginia","2018","Data Not Collected","",
"55","Wisconsin","2018","11.5","",
"56","Wyoming","2018","Data Not Collected","",
