"StateFIPS","State","CountyFIPS","County","Year","Value","Data Comment",
"04","Arizona","04001","Apache","2018","24.9","",
"04","Arizona","04003","Cochise","2018","45.7","",
"04","Arizona","04005","Coconino","2018","22.7","",
"04","Arizona","04007","Gila","2018","43.3","",
"04","Arizona","04009","Graham","2018","43.1","",
"04","Arizona","04011","Greenlee","2018","21.2","",
"04","Arizona","04012","La Paz","2018","35.2","",
"04","Arizona","04013","Maricopa","2018","38.5","",
"04","Arizona","04015","Mohave","2018","33.4","",
"04","Arizona","04017","Navajo","2018","23.2","",
"04","Arizona","04019","Pima","2018","29.7","",
"04","Arizona","04021","Pinal","2018","30.8","",
"04","Arizona","04023","Santa Cruz","2018","39.8","",
"04","Arizona","04025","Yavapai","2018","26.1","",
"04","Arizona","04027","Yuma","2018","25.5","",
"06","California","06001","Alameda","2018","46.6","",
"06","California","06003","Alpine","2018","Suppressed","Unstable",
"06","California","06005","Amador","2018","34.8","",
"06","California","06007","Butte","2018","39.3","",
"06","California","06009","Calaveras","2018","40.9","",
"06","California","06011","Colusa","2018","55.2","",
"06","California","06013","Contra Costa","2018","52.0","",
"06","California","06015","Del Norte","2018","47.5","",
"06","California","06017","El Dorado","2018","29.5","",
"06","California","06019","Fresno","2018","69.8","",
"06","California","06021","Glenn","2018","35.8","",
"06","California","06023","Humboldt","2018","50.4","",
"06","California","06025","Imperial","2018","63.4","",
"06","California","06027","Inyo","2018","45.3","",
"06","California","06029","Kern","2018","48.0","",
"06","California","06031","Kings","2018","55.2","",
"06","California","06033","Lake","2018","78.3","",
"06","California","06035","Lassen","2018","36.2","",
"06","California","06037","Los Angeles","2018","46.3","",
"06","California","06039","Madera","2018","51.9","",
"06","California","06041","Marin","2018","22.5","",
"06","California","06043","Mariposa","2018","39.2","",
"06","California","06045","Mendocino","2018","57.5","",
"06","California","06047","Merced","2018","62.2","",
"06","California","06049","Modoc","2018","94.1","",
"06","California","06051","Mono","2018","43.1","",
"06","California","06053","Monterey","2018","37.3","",
"06","California","06055","Napa","2018","36.9","",
"06","California","06057","Nevada","2018","22.0","",
"06","California","06059","Orange","2018","25.7","",
"06","California","06061","Placer","2018","29.3","",
"06","California","06063","Plumas","2018","49.4","",
"06","California","06065","Riverside","2018","36.5","",
"06","California","06067","Sacramento","2018","62.6","",
"06","California","06069","San Benito","2018","51.8","",
"06","California","06071","San Bernardino","2018","47.7","",
"06","California","06073","San Diego","2018","28.3","",
"06","California","06075","San Francisco","2018","32.4","",
"06","California","06077","San Joaquin","2018","60.0","",
"06","California","06079","San Luis Obispo","2018","24.4","",
"06","California","06081","San Mateo","2018","26.7","",
"06","California","06083","Santa Barbara","2018","27.1","",
"06","California","06085","Santa Clara","2018","26.3","",
"06","California","06087","Santa Cruz","2018","26.3","",
"06","California","06089","Shasta","2018","33.5","",
"06","California","06091","Sierra","2018","40.5","",
"06","California","06093","Siskiyou","2018","31.6","",
"06","California","06095","Solano","2018","75.0","",
"06","California","06097","Sonoma","2018","35.5","",
"06","California","06099","Stanislaus","2018","52.9","",
"06","California","06101","Sutter","2018","30.1","",
"06","California","06103","Tehama","2018","44.9","",
"06","California","06105","Trinity","2018","45.2","",
"06","California","06107","Tulare","2018","34.4","",
"06","California","06109","Tuolumne","2018","40.6","",
"06","California","06111","Ventura","2018","29.1","",
"06","California","06113","Yolo","2018","36.5","",
"06","California","06115","Yuba","2018","43.0","",
"08","Colorado","08001","Adams","2018","46.9","",
"08","Colorado","08003","Alamosa","2018","45.0","",
"08","Colorado","08005","Arapahoe","2018","37.1","",
"08","Colorado","08007","Archuleta","2018","19.8","",
"08","Colorado","08009","Baca","2018","19.5","Unstable",
"08","Colorado","08011","Bent","2018","22.4","",
"08","Colorado","08013","Boulder","2018","18.9","",
"08","Colorado","08014","Broomfield","2018","17.1","",
"08","Colorado","08015","Chaffee","2018","18.9","",
"08","Colorado","08017","Cheyenne","2018","Suppressed","Unstable",
"08","Colorado","08019","Clear Creek","2018","10.5","Unstable",
"08","Colorado","08021","Conejos","2018","34.3","",
"08","Colorado","08023","Costilla","2018","23.7","Unstable",
"08","Colorado","08025","Crowley","2018","23.8","",
"08","Colorado","08027","Custer","2018","14.1","Unstable",
"08","Colorado","08029","Delta","2018","24.6","",
"08","Colorado","08031","Denver","2018","39.4","",
"08","Colorado","08033","Dolores","2018","Suppressed","Unstable",
"08","Colorado","08035","Douglas","2018","16.1","",
"08","Colorado","08037","Eagle","2018","6.2","",
"08","Colorado","08041","El Paso","2018","32.5","",
"08","Colorado","08039","Elbert","2018","10.3","",
"08","Colorado","08043","Fremont","2018","18.5","",
"08","Colorado","08045","Garfield","2018","26.0","",
"08","Colorado","08047","Gilpin","2018","11.4","Unstable",
"08","Colorado","08049","Grand","2018","15.4","",
"08","Colorado","08051","Gunnison","2018","18.6","",
"08","Colorado","08053","Hinsdale","2018","Suppressed","Unstable",
"08","Colorado","08055","Huerfano","2018","36.4","",
"08","Colorado","08057","Jackson","2018","0.0","Unstable",
"08","Colorado","08059","Jefferson","2018","24.0","",
"08","Colorado","08061","Kiowa","2018","Suppressed","Unstable",
"08","Colorado","08063","Kit Carson","2018","27.9","",
"08","Colorado","08067","La Plata","2018","17.7","",
"08","Colorado","08065","Lake","2018","14.1","Unstable",
"08","Colorado","08069","Larimer","2018","24.0","",
