"StateFIPS","State","CountyFIPS","County","Year","Value","Data Comment",
"01","Alabama","01003","Baldwin","2018","0","",
"01","Alabama","01033","Colbert","2018","0","",
"01","Alabama","01049","DeKalb","2018","0","",
"01","Alabama","01051","Elmore","2018","0","",
"01","Alabama","01055","Etowah","2018","0","",
"01","Alabama","01069","Houston","2018","0","",
"01","Alabama","01073","Jefferson","2018","5","",
"01","Alabama","01089","Madison","2018","1","",
"01","Alabama","01097","Mobile","2018","1","",
"01","Alabama","01101","Montgomery","2018","0","",
"01","Alabama","01103","Morgan","2018","0","",
"01","Alabama","01113","Russell","2018","0","",
"01","Alabama","01117","Shelby","2018","1","",
"01","Alabama","01119","Sumter","2018","0","",
"01","Alabama","01125","Tuscaloosa","2018","1","",
"02","Alaska","02068","Denali","2018","0","",
"02","Alaska","02090","Fairbanks North Star","2018","0","",
"02","Alaska","02170","Matanuska-Susitna","2018","0","",
"04","Arizona","04003","Cochise","2018","0","",
"04","Arizona","04005","Coconino","2018","2","",
"04","Arizona","04007","Gila","2018","20","",
"04","Arizona","04012","La Paz","2018","3","",
"04","Arizona","04013","Maricopa","2018","48","",
"04","Arizona","04017","Navajo","2018","2","",
"04","Arizona","04019","Pima","2018","7","",
"04","Arizona","04021","Pinal","2018","19","",
"04","Arizona","04025","Yavapai","2018","1","",
"04","Arizona","04027","Yuma","2018","6","",
"05","Arkansas","05019","Clark","2018","0","",
"05","Arkansas","05035","Crittenden","2018","3","",
"05","Arkansas","05101","Newton","2018","0","",
"05","Arkansas","05113","Polk","2018","0","",
"05","Arkansas","05119","Pulaski","2018","2","",
"05","Arkansas","05143","Washington","2018","0","",
"06","California","06001","Alameda","2018","3","",
"06","California","06005","Amador","2018","6","",
"06","California","06007","Butte","2018","20","",
"06","California","06009","Calaveras","2018","10","",
"06","California","06011","Colusa","2018","0","",
"06","California","06013","Contra Costa","2018","2","",
"06","California","06017","El Dorado","2018","36","",
"06","California","06019","Fresno","2018","67","",
"06","California","06023","Humboldt","2018","0","",
"06","California","06025","Imperial","2018","20","",
"06","California","06027","Inyo","2018","24","",
"06","California","06029","Kern","2018","96","",
"06","California","06031","Kings","2018","29","",
"06","California","06033","Lake","2018","1","",
"06","California","06037","Los Angeles","2018","90","",
"06","California","06039","Madera","2018","16","",
"06","California","06041","Marin","2018","0","",
"06","California","06043","Mariposa","2018","31","",
"06","California","06045","Mendocino","2018","0","",
"06","California","06047","Merced","2018","21","",
"06","California","06053","Monterey","2018","0","",
"06","California","06055","Napa","2018","0","",
"06","California","06057","Nevada","2018","22","",
"06","California","06059","Orange","2018","10","",
"06","California","06061","Placer","2018","43","",
"06","California","06065","Riverside","2018","120","",
"06","California","06067","Sacramento","2018","19","",
"06","California","06069","San Benito","2018","1","",
"06","California","06071","San Bernardino","2018","144","",
"06","California","06073","San Diego","2018","30","",
"06","California","06075","San Francisco","2018","0","",
"06","California","06077","San Joaquin","2018","8","",
"06","California","06079","San Luis Obispo","2018","6","",
"06","California","06081","San Mateo","2018","0","",
"06","California","06083","Santa Barbara","2018","0","",
"06","California","06085","Santa Clara","2018","1","",
"06","California","06087","Santa Cruz","2018","0","",
"06","California","06089","Shasta","2018","16","",
"06","California","06093","Siskiyou","2018","4","",
"06","California","06095","Solano","2018","1","",
"06","California","06097","Sonoma","2018","0","",
"06","California","06099","Stanislaus","2018","27","",
"06","California","06101","Sutter","2018","18","",
"06","California","06103","Tehama","2018","14","",
"06","California","06107","Tulare","2018","92","",
"06","California","06109","Tuolumne","2018","21","",
"06","California","06111","Ventura","2018","14","",
"06","California","06113","Yolo","2018","2","",
"08","Colorado","08001","Adams","2018","1","",
"08","Colorado","08005","Arapahoe","2018","15","",
"08","Colorado","08007","Archuleta","2018","0","",
"08","Colorado","08013","Boulder","2018","29","",
"08","Colorado","08019","Clear Creek","2018","13","",
"08","Colorado","08029","Delta","2018","0","",
"08","Colorado","08031","Denver","2018","7","",
"08","Colorado","08035","Douglas","2018","24","",
"08","Colorado","08041","El Paso","2018","7","",
"08","Colorado","08045","Garfield","2018","1","",
"08","Colorado","08051","Gunnison","2018","2","",
"08","Colorado","08059","Jefferson","2018","37","",
"08","Colorado","08067","La Plata","2018","5","",
"08","Colorado","08069","Larimer","2018","27","",
"08","Colorado","08077","Mesa","2018","3","",
"08","Colorado","08081","Moffat","2018","1","",
"08","Colorado","08083","Montezuma","2018","4","",
"08","Colorado","08085","Montrose","2018","1","",
"08","Colorado","08103","Rio Blanco","2018","2","",
"08","Colorado","08123","Weld","2018","7","",
"09","Connecticut","09001","Fairfield","2018","21","",
"09","Connecticut","09003","Hartford","2018","1","",
"09","Connecticut","09005","Litchfield","2018","4","",
"09","Connecticut","09007","Middlesex","2018","8","",
"09","Connecticut","09009","New Haven","2018","14","",
"09","Connecticut","09011","New London","2018","6","",
"09","Connecticut","09013","Tolland","2018","4","",
"09","Connecticut","09015","Windham","2018","6","",
"10","Delaware","10001","Kent","2018","2","",
"10","Delaware","10003","New Castle","2018","6","",
"10","Delaware","10005","Sussex","2018","4","",
"11","District of Columbia","11001","District of Columbia","2018","6","",
"12","Florida","12001","Alachua","2018","0","",
"12","Florida","12003","Baker","2018","0","",
"12","Florida","12005","Bay","2018","0","",
"12","Florida","12009","Brevard","2018","1","",
"12","Florida","12011","Broward","2018","0","",
"12","Florida","12021","Collier","2018","0","",
"12","Florida","12023","Columbia","2018","0","",
"12","Florida","12031","Duval","2018","0","",
"12","Florida","12033","Escambia","2018","0","",
"12","Florida","12035","Flagler","2018","0","",
"12","Florida","12055","Highlands","2018","1","",
"12","Florida","12057","Hillsborough","2018","4","",
"12","Florida","12059","Holmes","2018","0","",
"12","Florida","12061","Indian River","2018","1","",
"12","Florida","12069","Lake","2018","1","",
"12","Florida","12071","Lee","2018","0","",
"12","Florida","12073","Leon","2018","0","",
"12","Florida","12077","Liberty","2018","0","",
"12","Florida","12081","Manatee","2018","2","",
"12","Florida","12083","Marion","2018","0","",
"12","Florida","12085","Martin","2018","1","",
"12","Florida","12086","Miami-Dade","2018","2","",
"12","Florida","12091","Okaloosa","2018","0","",
"12","Florida","12095","Orange","2018","2","",
"12","Florida","12097","Osceola","2018","2","",
"12","Florida","12099","Palm Beach","2018","0","",
"12","Florida","12101","Pasco","2018","2","",
"12","Florida","12103","Pinellas","2018","0","",
"12","Florida","12105","Polk","2018","2","",
"12","Florida","12113","Santa Rosa","2018","0","",
"12","Florida","12115","Sarasota","2018","0","",
"12","Florida","12117","Seminole","2018","2","",
"12","Florida","12111","St. Lucie","2018","0","",
"12","Florida","12127","Volusia","2018","0","",
"12","Florida","12129","Wakulla","2018","0","",
"13","Georgia","13021","Bibb","2018","0","",
"13","Georgia","13051","Chatham","2018","0","",
"13","Georgia","13055","Chattooga","2018","0","",
"13","Georgia","13059","Clarke","2018","2","",
"13","Georgia","13067","Cobb","2018","0","",
"13","Georgia","13073","Columbia","2018","0","",
"13","Georgia","13085","Dawson","2018","2","",
"13","Georgia","13089","DeKalb","2018","0","",
"13","Georgia","13097","Douglas","2018","0","",
"13","Georgia","13121","Fulton","2018","4","",
"13","Georgia","13127","Glynn","2018","0","",
"13","Georgia","13135","Gwinnett","2018","0","",
"13","Georgia","13151","Henry","2018","3","",
"13","Georgia","13213","Murray","2018","0","",
"13","Georgia","13215","Muscogee","2018","0","",
"13","Georgia","13245","Richmond","2018","1","",
"13","Georgia","13247","Rockdale","2018","2","",
"13","Georgia","13261","Sumter","2018","0","",
"15","Hawaii","15003","Honolulu","2018","0","",
"16","Idaho","16001","Ada","2018","2","",
"16","Idaho","16023","Butte","2018","3","",
"16","Idaho","16049","Idaho","2018","1","",
"17","Illinois","17001","Adams","2018","0","",
"17","Illinois","17019","Champaign","2018","4","",
"17","Illinois","17023","Clark","2018","1","",
"17","Illinois","17031","Cook","2018","18","",
"17","Illinois","17043","DuPage","2018","4","",
"17","Illinois","17049","Effingham","2018","1","",
"17","Illinois","17065","Hamilton","2018","3","",
"17","Illinois","17083","Jersey","2018","3","",
"17","Illinois","17085","Jo Daviess","2018","2","",
"17","Illinois","17089","Kane","2018","5","",
"17","Illinois","17097","Lake","2018","8","",
"17","Illinois","17115","Macon","2018","3","",
"17","Illinois","17117","Macoupin","2018","3","",
"17","Illinois","17119","Madison","2018","9","",
"17","Illinois","17111","McHenry","2018","8","",
"17","Illinois","17113","McLean","2018","1","",
"17","Illinois","17143","Peoria","2018","3","",
"17","Illinois","17157","Randolph","2018","1","",
"17","Illinois","17161","Rock Island","2018","1","",
"17","Illinois","17167","Sangamon","2018","1","",
"17","Illinois","17163","St. Clair","2018","5","",
"17","Illinois","17197","Will","2018","4","",
"17","Illinois","17201","Winnebago","2018","3","",
"18","Indiana","18003","Allen","2018","6","",
"18","Indiana","18005","Bartholomew","2018","3","",
"18","Indiana","18011","Boone","2018","5","",
"18","Indiana","18013","Brown","2018","0","",
"18","Indiana","18015","Carroll","2018","3","",
"18","Indiana","18019","Clark","2018","4","",
"18","Indiana","18035","Delaware","2018","3","",
"18","Indiana","18039","Elkhart","2018","3","",
"18","Indiana","18043","Floyd","2018","5","",
"18","Indiana","18055","Greene","2018","3","",
"18","Indiana","18057","Hamilton","2018","5","",
"18","Indiana","18063","Hendricks","2018","2","",
"18","Indiana","18067","Howard","2018","5","",
"18","Indiana","18069","Huntington","2018","0","",
"18","Indiana","18071","Jackson","2018","0","",
"18","Indiana","18083","Knox","2018","4","",
"18","Indiana","18089","Lake","2018","4","",
"18","Indiana","18091","LaPorte","2018","7","",
