"StateFIPS","State","CountyFIPS","County","Year","Value","Data Comment",
"01","Alabama","01001","Autauga","2020","33.3","",
"01","Alabama","01003","Baldwin","2020","41.2","",
"01","Alabama","01005","Barbour","2020","50.0","",
"01","Alabama","01007","Bibb","2020","28.6","",
"01","Alabama","01009","Blount","2020","33.3","",
"01","Alabama","01011","Bullock","2020","100.0","",
"01","Alabama","01013","Butler","2020","100.0","",
"01","Alabama","01015","Calhoun","2020","33.3","",
"01","Alabama","01017","Chambers","2020","50.0","",
"01","Alabama","01019","Cherokee","2020","50.0","",
"01","Alabama","01021","Chilton","2020","33.3","",
"01","Alabama","01025","Clarke","2020","33.3","",
"01","Alabama","01027","Clay","2020","33.3","",
"01","Alabama","01035","Conecuh","2020","50.0","",
"01","Alabama","01037","Coosa","2020","33.3","",
"01","Alabama","01041","Crenshaw","2020","100.0","",
"01","Alabama","01043","Cullman","2020","66.7","",
"01","Alabama","01047","Dallas","2020","75.0","",
"01","Alabama","01049","DeKalb","2020","100.0","",
"01","Alabama","01051","Elmore","2020","100.0","",
"01","Alabama","01053","Escambia","2020","29.4","",
"01","Alabama","01055","Etowah","2020","42.9","",
"01","Alabama","01063","Greene","2020","20.0","",
"01","Alabama","01065","Hale","2020","33.3","",
"01","Alabama","01069","Houston","2020","29.4","",
"01","Alabama","01073","Jefferson","2020","58.3","",
"01","Alabama","01077","Lauderdale","2020","100.0","",
"01","Alabama","01079","Lawrence","2020","100.0","",
"01","Alabama","01081","Lee","2020","50.0","",
"01","Alabama","01083","Limestone","2020","25.0","",
"01","Alabama","01085","Lowndes","2020","100.0","",
"01","Alabama","01087","Macon","2020","50.0","",
"01","Alabama","01089","Madison","2020","80.0","",
"01","Alabama","01091","Marengo","2020","66.7","",
"01","Alabama","01093","Marion","2020","33.3","",
"01","Alabama","01095","Marshall","2020","100.0","",
"01","Alabama","01097","Mobile","2020","34.5","",
"01","Alabama","01099","Monroe","2020","100.0","",
"01","Alabama","01101","Montgomery","2020","62.5","",
"01","Alabama","01103","Morgan","2020","28.6","",
"01","Alabama","01109","Pike","2020","100.0","",
"01","Alabama","01111","Randolph","2020","20.0","",
"01","Alabama","01113","Russell","2020","100.0","",
"01","Alabama","01117","Shelby","2020","42.9","",
"01","Alabama","01115","St. Clair","2020","33.3","",
"01","Alabama","01119","Sumter","2020","42.9","",
"01","Alabama","01121","Talladega","2020","100.0","",
"01","Alabama","01125","Tuscaloosa","2020","66.7","",
"01","Alabama","01129","Washington","2020","50.0","",
"02","Alaska","02020","Anchorage","2020","30.8","",
"02","Alaska","02068","Denali","2020","25.0","",
"02","Alaska","02090","Fairbanks North Star","2020","100.0","",
"02","Alaska","02170","Matanuska-Susitna","2020","37.5","",
"02","Alaska","02240","Southeast Fairbanks","2020","14.3","",
"04","Arizona","04001","Apache","2020","17.1","",
"04","Arizona","04003","Cochise","2020","18.2","",
"04","Arizona","04005","Coconino","2020","37.5","",
"04","Arizona","04007","Gila","2020","25.0","",
"04","Arizona","04009","Graham","2020","12.5","",
"04","Arizona","04013","Maricopa","2020","33.7","",
"04","Arizona","04015","Mohave","2020","40.0","",
"04","Arizona","04017","Navajo","2020","40.0","",
"04","Arizona","04019","Pima","2020","27.6","",
"04","Arizona","04023","Santa Cruz","2020","23.5","",
"04","Arizona","04027","Yuma","2020","33.3","",
"05","Arkansas","05001","Arkansas","2020","36.4","",
"05","Arkansas","05003","Ashley","2020","25.0","",
"05","Arkansas","05007","Benton","2020","100.0","",
"05","Arkansas","05009","Boone","2020","33.3","",
"05","Arkansas","05013","Calhoun","2020","50.0","",
